Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Mean Payload Size,Std Payload Size,Min Payload Size,Max Payload Size,Mean Entropy,Min Entropy,Max Entropy,Mean Inter-Packet Interval,Min Inter-Packet Interval,Max Inter-Packet Interval,Bytes per Packet,Packets per Second,Bytes per Second,Destination Common Port Usage,Flags Count,SYN Count,ACK Count,FIN Count,Is HTTP,Is Internal IP,Direction,Short Duration,Single Packet
1.029014,55844,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.5145069999853149,0.5109769999980927,0.5180369999725372,44.666666666666664,2.91541222957122,130.22174625418117,0,1,1,0,0,0,1,outbound,0,0
9.000849,57062,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.500424500089139,3.002268000040204,5.998581000138074,44.66666666666666,0.3333018918548683,14.887484502850786,0,1,1,0,0,0,1,outbound,0,0
1e-06,57513,8080,HTTP,"PSH,ACK",1,456,456.0,0.0,456,456,3.5227792995342515,3.5227792995342515,3.5227792995342515,0.0,0.0,0.0,456.0,1000000.0,456000000.0,0,2,0,1,0,1,1,outbound,1,1
0.997923,443,49186,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0.0,0.0,0.4989614999999503,0.4974449999999706,0.50047799999993,34.0,3.006243968723038,102.21229493658328,0,2,0,1,0,0,0,inbound,0,0
8.996028,58198,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.498013999778777,2.9873579996638,6.008669999893755,44.66666666666666,0.3334805093981476,14.895462753117265,0,1,1,0,0,0,1,outbound,0,0
1.038525,4143,49524,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0.0,0.0,0.519262500005425,0.5180580000014743,0.5204670000093756,40.0,2.888712356467105,115.5484942586842,0,2,0,1,0,0,0,inbound,0,0
16.061343,8080,63822,TCP,"FIN,SYN,ACK",3,106,35.333333333333336,1.8856180831641267,34,38,0.0,0.0,0.0,8.030671500135213,0.0004680003039538,16.060874999966472,35.333333333333336,0.1867838822693718,6.599697173517805,0,3,1,1,1,0,0,outbound,0,0
1e-06,52594,8080,HTTP,"PSH,ACK",1,455,455.0,0.0,455,455,3.511755781052284,3.511755781052284,3.511755781052284,0.0,0.0,0.0,455.0,1000000.0,455000000.0,0,2,0,1,0,1,1,outbound,1,1
8.995749,60129,8080,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,4.497874499997124,2.996847999980673,5.998901000013575,44.66666666666666,0.3334908521791793,14.895924730670009,0,1,1,0,0,0,1,outbound,0,0
1.029421,51616,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.5147104999923613,0.5109270000248216,0.518493999959901,44.666666666666664,2.914259569214151,130.17026075823208,0,1,1,0,0,0,1,outbound,0,0
1.039608,53768,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.5198039999813773,0.5183999999426305,0.521208000020124,44.666666666666664,2.8857030726966317,128.8947372471162,0,1,1,0,0,0,1,outbound,0,0
1.027707,56848,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.5138535000151023,0.5109840000513941,0.5167229999788105,44.666666666666664,2.919119943719368,130.38735748613175,0,1,1,0,0,0,1,outbound,0,0
0.998712,55778,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.4993559999857098,0.4982789999339729,0.5004330000374466,44.666666666666664,3.0038689832504266,134.1728145851857,1,1,1,0,0,0,1,outbound,0,0
1e-06,52542,8080,HTTP,"PSH,ACK",1,455,455.0,0.0,455,455,3.5116468494651607,3.5116468494651607,3.5116468494651607,0.0,0.0,0.0,455.0,1000000.0,455000000.0,0,2,0,1,0,1,1,outbound,1,1
1.037891,4143,53596,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0.0,0.0,0.5189455000218004,0.5167019999353215,0.5211890001082793,40.0,2.8904769383297477,115.61907753318991,0,2,0,1,0,0,0,inbound,0,0
1e-06,8080,59611,HTTP,"PSH,ACK",1,173,173.0,0.0,173,173,3.34612082316114,3.34612082316114,3.34612082316114,0.0,0.0,0.0,173.0,1000000.0,173000000.0,0,2,0,1,0,1,0,outbound,1,1
1.028588,51924,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0.0,0.0,0.5142939999932423,0.5114049999974668,0.5171829999890178,44.666666666666664,2.916619676682987,130.27567889184007,0,1,1,0,0,0,1,outbound,0,0
1.018325,4143,50636,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0.0,0.0,0.5091624999768101,0.5089619999635033,0.5093629999901168,40.0,2.9460142881692977,117.84057152677191,0,2,0,1,0,0,0,inbound,0,0
1.019729,4143,57132,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0.0,0.0,0.5098645000252873,0.5078140001278371,0.5119149999227375,40.0,2.9419581084778406,117.67832433911362,0,2,0,1,0,0,0,inbound,0,0
