Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Mean Payload Size,Std Payload Size,Min Payload Size,Max Payload Size,Mean Entropy,Min Entropy,Max Entropy,Mean Inter-Packet Interval,Min Inter-Packet Interval,Max Inter-Packet Interval,Label,Bytes per Packet,Packets per Second,Bytes per Second,Destination Common Port Usage,Flags Count,SYN Count,ACK Count,FIN Count,Is HTTP,Is Internal IP,Direction,Short Duration,Single Packet
1.239909,49191,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6199544999999489,0.6188869999996314,0.6210220000002664,Benign,44.666666666666664,2.4195324011681505,108.07244725217738,0,1,1,0,0,0,1,outbound,0,0
1.239566,8043,49191,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6197829999996429,0.61859800000002,0.6209679999992659,Benign,40.0,2.4202019093779596,96.80807637511839,0,2,0,1,0,0,0,outbound,0,0
1.040015,49192,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5200075000002471,0.5188100000004852,0.521205000000009,Dridex,44.666666666666664,2.884573780185863,128.84429551496854,0,1,1,0,0,0,1,outbound,0,0
1.040078,4143,49192,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.520038999999997,0.5195329999996829,0.5205450000003111,Dridex,40.0,2.8843990546862828,115.37596218745132,0,2,0,1,0,0,0,outbound,0,0
1.160586,49193,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5802929999999833,0.5793760000005932,0.5812099999993734,Benign,44.666666666666664,2.584901075835828,115.45891472066698,0,1,1,0,0,0,1,outbound,0,0
1.160817,8043,49193,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5804084999999759,0.579953999999816,0.5808630000001358,Benign,40.0,2.584386686273547,103.37546745094188,0,2,0,1,0,0,0,outbound,0,0
0.999139,49194,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.4995694999997795,0.4981280000001788,0.5010109999993801,Dridex,44.666666666666664,3.002585225879482,134.11547342261687,1,1,1,0,0,0,1,outbound,0,0
0.999167,443,49194,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4995834999999715,0.4980869999999413,0.5010800000000017,Dridex,34.0,3.0025010834024743,102.08503683568412,0,2,0,1,0,0,0,outbound,0,0
1.240077,49195,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6200385000001916,0.6188149999998132,0.62126200000057,Benign,44.666666666666664,2.4192046139070396,108.05780608784777,0,1,1,0,0,0,1,outbound,0,0
1.239709,8043,49195,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6198545000002014,0.6183829999999944,0.6213260000004084,Benign,40.0,2.419922739933323,96.79690959733293,0,2,0,1,0,0,0,outbound,0,0
1.038889,49196,4143,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5194444999997359,0.5180929999996806,0.5207959999997911,Dridex,44.666666666666664,2.8877002259144144,128.98394342417717,0,1,1,0,0,0,1,outbound,0,0
1.038955,4143,49196,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5194774999999936,0.5180589999999938,0.5208959999999934,Dridex,40.0,2.887516783691305,115.5006713476522,0,2,0,1,0,0,0,outbound,0,0
1.160072,49197,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.5800359999998363,0.5794209999994564,0.5806510000002163,Benign,44.666666666666664,2.5860463833279312,115.51007178864761,0,1,1,0,0,0,1,outbound,0,0
1.160142,8043,49197,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.5800710000003164,0.579968000000008,0.5801740000006248,Benign,40.0,2.5858903479056874,103.4356139162275,0,2,0,1,0,0,0,outbound,0,0
0.998607,49198,443,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.499303499999769,0.4976100000003498,0.5009969999991881,Dridex,44.666666666666664,3.004184829467448,134.18692238287935,1,1,1,0,0,0,1,outbound,0,0
0.998696,443,49198,TCP,"RST,ACK",3,102,34.0,0.0,34,34,0.0,0,0,0.4993480000002819,0.497707999999875,0.5009880000006888,Dridex,34.0,3.003917107908713,102.13318166889624,0,2,0,1,0,0,0,outbound,0,0
1.240491,49199,8043,TCP,SYN,3,134,44.66666666666666,1.8856180831641267,42,46,0.0,0,0,0.6202454999997826,0.6192009999995207,0.6212900000000445,Benign,44.666666666666664,2.4183972314188495,108.02174300337528,0,1,1,0,0,0,1,outbound,0,0
1.240015,8043,49199,TCP,"RST,ACK",3,120,40.0,0.0,40,40,0.0,0,0,0.6200075000001561,0.6182950000002165,0.6217200000000958,Benign,40.0,2.419325572674524,96.77302290698096,0,2,0,1,0,0,0,outbound,0,0
