Duration,Source Port,Destination Port,Protocol,Flags,Packets,Bytes,Label,packet_length,flags_count,syn_count,ack_count,fin_count,is_http,is_internal_ip,direction,bytes_per_packet,short_duration,single_packet
65.824075,49192,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.742503,443,49192,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
66.132922,49193,443,TCP,"FIN,SYN,ACK",5,282,Benign,282,3,1,1,1,0,1,outbound,282,0,0
66.130415,443,49193,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.982044,49193,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.899341,443,49193,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
65.609916,49194,443,TCP,"FIN,SYN,ACK",6,336,Benign,336,3,1,1,1,0,1,outbound,336,0,0
65.610222,443,49194,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
65.528368,49194,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
65.428605,443,49194,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
66.45282,49195,443,TCP,"FIN,SYN,ACK",6,336,Benign,336,3,1,1,1,0,1,outbound,336,0,0
66.453484,443,49195,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
66.330368,49195,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
66.096145,443,49195,TLS,"PSH,ACK",4,1401,Benign,1401,2,0,1,0,0,0,inbound,1401,0,0
67.598706,49196,443,TCP,"FIN,SYN,ACK",6,336,Benign,336,3,1,1,1,0,1,outbound,336,0,0
67.598443,443,49196,TCP,"FIN,SYN,RST,ACK",5,306,Benign,306,4,1,1,1,0,0,inbound,306,0,0
67.417664,49196,443,TLS,"PSH,ACK",4,706,Benign,706,2,0,1,0,0,1,outbound,706,0,0
